Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,Jenis Rekomendasi Optimasi_Melakukan Beamforming dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi Load Balancing dan Handover Tuning,Jenis Rekomendasi Optimasi_Melakukan Optimasi MEC dan Carrier Aggregation,Jenis Rekomendasi Optimasi_Melakukan Optimasi Power Control,cluster,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.35286612,-6.30404198,-94.5,8.000000000000002,23093.28,18825.94,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-90.80696999999998,8.38765,23116.014290000003,21722.539910000003
106.35281742,-6.30400303,-97.38,11.499999999999998,16126.5,13601.849999999999,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-93.62213000000001,11.12884999999998,17797.78789,9990.72001
106.35277135,-6.30396481,-95.25,4.999999999999999,14284.13,13788.3,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-92.396,7.706799999999993,15854.026980000002,13881.41448
106.35273373,-6.30393044,-96.19,10.999999999999998,23966.29,20165.15,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.96038,13.192399999999989,25783.31053000002,23453.944545
106.35269577,-6.30389192,-93.25,8.000000000000002,28551.81,26004.799999999996,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-89.679675,7.889574999999998,31950.977430000006,28773.529215
106.35265391,-6.30384817,-92.19,10.000000000000004,48358.55,22138.24,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-90.688135,10.846874999999978,45792.33468,24979.627209999995
106.35261256,-6.30380842,-95.5,14.000000000000002,68325.31,22692.91,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-88.5013,15.08189999999997,65983.94870000002,27311.41269999996
106.35257247,-6.30376914,-92.81,12.0,18980.03,23211.32,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-88.12189500000001,13.986874999999982,22073.21265,24983.76468000001
106.35253213,-6.3037269,-90.62,15.999999999999996,30164.059999999998,48808.73,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-87.76852999999998,16.248850000000008,31639.11534000001,47717.32987500003
106.35248729,-6.30368205,-92.31,15.999999999999996,25088.21,23850.72,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-89.67748,14.717400000000001,27853.24203999998,26422.16875999999
106.3524448,-6.30364419,-93.5,16.999999999999996,56950.48,18620.79,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-90.477165,14.803824999999978,57035.63941000001,24570.85303499997
106.35239856,-6.30360597,-92.19,11.499999999999998,25341.19,25959.89,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,3,-90.632195,11.836974999999995,27388.579759999986,28077.15866000002
106.35236374,-6.30357707,-94.19,15.499999999999996,19582.71,21819.74,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,2,-87.62269500000001,16.078474999999997,22813.46559,24961.2936
106.35232624,-6.30354787,-90.69,13.5,16343.51,22709.63,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-83.94294500000004,19.131425,18956.127740000004,25143.632584999978
106.3522826,-6.30351718,-88.25,14.000000000000002,26042.1,26165.860000000004,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-87.606345,13.842524999999995,28640.686409999988,26729.940059999997
106.35223648,-6.30348153,-85.38,13.5,44898.34,24268.45,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-86.0816,13.569300000000009,44066.77079999997,23772.99789999999
106.35219339,-6.30344868,-84.19,18.0,56891.68,22941.23,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-85.66040000000001,16.7185,59006.07589999999,24512.58789999998
106.35213907,-6.30341065,-87.69,14.499999999999996,54706.85,21925.14,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-87.95500000000001,14.140599999999981,53609.35369999997,25450.627599999978
106.35209178,-6.30337705,-86.62,14.000000000000002,19593.57,24919.16,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-83.50722499999999,15.532324999999991,23402.961700000007,26724.37900499999
106.35204477,-6.3033468,-84.94,18.0,24624.86,23148.28,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-82.321445,16.284024999999996,26586.166260000005,24488.600554999994
106.35198793,-6.30331618,-83.62,8.000000000000002,29990.100000000002,24840.98,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-82.478275,7.9515749999999885,31483.374920000024,26197.854679999975
106.35193593,-6.30329633,-84.31,10.999999999999998,21208.58,28162.3,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-81.94037499999999,13.746075000000006,23350.786510000005,27896.950019999986
106.35187213,-6.30328071,-84.88,7.500000000000001,21110.58,22413.82,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-82.46687499999999,9.251874999999995,22780.06079000001,25708.708579999977
106.35181905,-6.30327804,-87.38,6.0,24771.01,26234.260000000002,Melakukan Optimasi Load Balancing dan Handover Tuning,0.0,1.0,0.0,0.0,2,-85.718175,7.641774999999981,28331.247640000012,27936.848314999992
106.35176874,-6.3032857,-85.0,10.499999999999998,25523.11,22869.91,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-83.23022499999998,12.448124999999997,28181.440510000008,24808.83580000001
106.35172131,-6.30328974,-82.81,14.000000000000002,19259.62,17517.23,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,0,-79.33077999999999,18.179999999999993,21165.90746,22808.86544999999
106.35166912,-6.30328323,-81.25,14.000000000000002,31956.620000000003,46314.56999999999,Melakukan Optimasi Power Control,0.0,0.0,0.0,1.0,3,-83.91869999999999,15.170700000000005,34315.32590000001,49211.04630000002
106.351622,-6.30327288,-84.75,15.999999999999996,24254.63,21006.97,Melakukan Optimasi MEC dan Carrier Aggregation,0.0,0.0,1.0,0.0,3,-82.27253499999999,15.294374999999993,27604.254760000003,22792.12190499998
