Longitude,Latitude,RSRP(dBm),RSRP(dBm)_after
106.79279921,-6.15209396,-95.5,-94.63125499999998
106.79275419,-6.15210683,-94.8,-93.32099499999998
106.79270938,-6.15211611,-97.85,-94.84878
106.79266668,-6.15212566,-96.32,-93.7231
106.79262673,-6.15213321,-96.18,-94.145965
106.7925847,-6.15214127,-97.26,-93.70076499999998
106.79254279,-6.15214792,-98.6,-93.62986
106.79249601,-6.1521541,-99.99,-89.275905
106.79244637,-6.15216295,-100.28,-89.39950500000002
106.79240159,-6.15217179,-101.16,-90.73190499999998
106.79235259,-6.1521805,-97.86,-92.89983
106.79230502,-6.1521895,-97.93,-94.2739
106.79225841,-6.15219887,-98.15,-93.57493499999998
106.79221012,-6.15220866,-98.1,-93.699675
106.79216321,-6.15221679,-95.94,-93.327635
106.79211558,-6.15222651,-93.58,-92.293695
106.79206662,-6.15223811,-93.16,-91.09048
106.79200738,-6.15225113,-91.53,-88.25298000000001
106.79194688,-6.15226362,-89.54,-86.66109
106.79188719,-6.1522758,-90.08,-86.56023500000002
106.7918323,-6.15228702,-92.8,-91.48751499999996
106.79177818,-6.15229665,-93.06,-91.827945
106.79172605,-6.15230824,-92.58,-90.439515
106.79167675,-6.15231979,-92.1,-90.09642
106.79162678,-6.15233328,-91.68,-89.93193499999998
106.79158148,-6.15234372,-92.24,-90.539935
106.79153031,-6.15235562,-93.89,-92.248635
106.79148618,-6.15236086,-93.38,-91.44699999999996
106.79144267,-6.1523668,-94.4,-91.59632999999998
106.79140275,-6.15237564,-92.71,-89.52570000000001
106.79136453,-6.15238873,-94.66,-91.7698
106.79132771,-6.15240597,-95.69,-93.6613
106.79129643,-6.15242306,-94.44,-91.400665
106.79125716,-6.15244122,-93.35,-91.55647499999996
106.79121998,-6.15244766,-91.43,-88.96460000000002
106.79117438,-6.15245283,-91.99,-88.95929500000001
106.79113107,-6.15245401,-88.95,-84.529195
106.79108327,-6.152449,-86.82,-78.74620000000002
106.79103594,-6.15244239,-84.19,-77.8501
106.79099271,-6.1524388,-85.33,-78.32650000000001
106.79095113,-6.15243567,-85.64,-84.02844
106.79091089,-6.1524374,-83.5,-77.42850000000003
106.7908672,-6.1524375,-78.93,-79.179695
106.79081974,-6.15243743,-79.62,-78.68137999999999
106.79077061,-6.15244168,-81.44,-76.63030000000002
106.79071819,-6.1524435,-85.27,-83.90340999999997
106.79065928,-6.15244642,-88.12,-85.77613499999998
106.79059992,-6.15244987,-84.66,-81.68090000000002
106.7905472,-6.15245486,-81.21,-82.80343
106.79050143,-6.15246207,-77.74,-78.50136499999999
106.79046085,-6.15246577,-77.49,-78.7185
106.79041298,-6.1524699,-77.19,-78.55060000000002
106.79036085,-6.15247202,-75.51,-78.049465
106.79030071,-6.15247319,-75.93,-78.45833
106.79024088,-6.1524743,-75.31,-78.91063000000001
106.79018492,-6.15247347,-77.27,-79.65582499999996
106.79013457,-6.15247098,-75.09,-79.95182999999997
106.79009072,-6.1524688,-78.35,-79.72140499999999
106.79005665,-6.15247053,-79.51,-80.69057999999998
106.79002731,-6.15247447,-77.16,-80.01470499999999
106.7899987,-6.15247815,-78.91,-72.89730000000002
106.78996453,-6.15247869,-77.06,-72.22610000000002
106.78991886,-6.15248105,-79.79,-73.15169999999999
106.78986916,-6.15248874,-78.42,-73.25850499999997
106.78981253,-6.15249685,-76.54,-76.90316000000003
106.78977028,-6.15250165,-73.52,-78.64713000000002
106.7897302,-6.1525038,-74.16,-79.27308999999998
106.78969044,-6.1525066,-75.42,-78.88562499999998
106.78964716,-6.15251078,-76.28,-79.49246500000001
106.78959376,-6.15251784,-76.74,-79.32463000000001
106.78953743,-6.15252146,-73.53,-77.92020000000001
106.78947883,-6.15252727,-68.32,-77.978565
106.78942325,-6.15253072,-72.62,-77.11229999999998
106.78936748,-6.15253288,-70.72,-77.63953
106.78931255,-6.15253609,-68.19,-76.172665
106.78925904,-6.15253935,-68.23,-77.59053
106.78921417,-6.15254041,-69.49,-77.40553
106.78917878,-6.15253858,-64.92,-77.15676500000001
106.78914547,-6.15253821,-69.49,-74.2325
106.78910667,-6.15254103,-71.08,-77.297865
106.78906221,-6.15254574,-69.33,-76.579965
106.78901302,-6.15254892,-71.5,-77.44692999999998
106.78896056,-6.15255465,-73.69,-77.83926500000001
106.78890751,-6.15255733,-75.39,-77.52966500000001
106.78885554,-6.15255908,-76.74,-78.46562999999999
106.78880392,-6.15256325,-78.2,-79.66399499999999
106.78875585,-6.15256139,-77.27,-78.85546000000001
106.78871582,-6.15255627,-78.65,-80.16812499999999
106.7886873,-6.15255308,-77.81,-79.37090000000002
106.78866421,-6.15254896,-76.65,-78.28763000000001
106.78863954,-6.15254428,-79.73,-80.33735499999997
106.78861357,-6.15254446,-80.43,-80.31999499999999
106.78858724,-6.15254584,-81.85,-83.65451999999999
106.78856217,-6.15255196,-81.12,-81.48772
106.78854826,-6.15255641,-80.46,-79.92560000000002
106.78853729,-6.1525652,-78.97,-80.08608999999998
106.78852925,-6.15257833,-78.72,-80.65318
106.78852548,-6.15259897,-75.04,-78.10866
106.78851947,-6.15262773,-83.7,-82.36200000000001
106.78851157,-6.15266531,-87.15,-85.68919000000001
106.78850286,-6.1527098,-91.97,-88.685185
106.78849457,-6.15274423,-88.86,-82.96979999999999
106.78848549,-6.15278914,-88.6,-86.888795
106.78847952,-6.15283187,-91.83,-90.236705
106.78847279,-6.1528729,-94.18,-92.758535
106.78846047,-6.15292381,-96.6,-93.25359999999998
106.78844578,-6.15296694,-100.76,-93.40223
106.78843293,-6.15301827,-102.22,-91.47280999999997
106.78842308,-6.15307054,-104.19,-91.97061
106.78841176,-6.15312324,-104.0,-92.54080999999998
106.78840129,-6.15317808,-105.36,-92.675105
106.7883949,-6.15323558,-103.89,-92.01370499999996
106.78838839,-6.15328932,-99.66,-94.5155
106.78838265,-6.15333701,-102.31,-90.908505
106.78837794,-6.15339033,-102.69,-91.05380499999998
106.78837941,-6.15344575,-102.7,-94.9089
106.78838233,-6.15349912,-99.68,-96.007555
106.78837682,-6.15355287,-98.15,-95.14026
106.78836967,-6.15360976,-98.57,-95.14026
106.78836248,-6.15366807,-100.79,-96.32598999999998
106.7883579,-6.15373174,-100.97,-97.48431499999998
106.78835336,-6.1537897,-99.58,-95.72482499999998
106.78835305,-6.15384926,-101.13,-97.43491499999998
106.78834612,-6.15391065,-100.89,-97.61507499999998
106.78834166,-6.15397006,-101.55,-96.48868
106.78833683,-6.15403061,-103.44,-94.59960499999998
106.78832819,-6.15408907,-105.66,-93.4187
106.78831793,-6.15414448,-104.49,-92.9604
106.78831123,-6.15420574,-107.14,-95.198105
106.78830896,-6.15426697,-109.52,-97.1209
106.78830416,-6.15433529,-107.59,-96.3449
106.78829705,-6.15439972,-106.82,-93.433215
106.78829094,-6.15445787,-107.33,-95.12219999999998
106.78828213,-6.15451546,-106.76,-94.881
106.78828005,-6.15456513,-106.41,-92.980605
106.78827986,-6.15461443,-104.77,-92.05900999999996
106.78827872,-6.15466668,-107.86,-94.817205
106.78828255,-6.15471398,-110.16,-95.7173
106.78828551,-6.15475906,-111.43,-95.6464
106.78828837,-6.15480417,-111.84,-96.0094
106.78828967,-6.15484793,-113.16,-99.0964
106.78828134,-6.15488381,-112.34,-97.8703
106.78827963,-6.15491014,-112.31,-100.5527
106.78827819,-6.15493119,-111.61,-99.7474
106.78827999,-6.15494366,-110.35,-98.4788
106.78828012,-6.15494458,-109.55,-97.9187
106.7882882,-6.15495728,-110.35,-96.073
106.78830322,-6.15496886,-110.95,-97.6338
106.7883282,-6.15498134,-108.18,-96.4612
106.78836383,-6.15499599,-107.73,-95.8546
106.78841057,-6.15499964,-107.21,-94.9605
106.78846371,-6.15499714,-112.9,-96.4689
106.78851494,-6.15499515,-113.32,-101.4082
106.7885696,-6.15499704,-115.79,-104.48890000000002
106.78863124,-6.15500363,-117.18000000000002,-105.14260000000002
106.78868456,-6.15501269,-115.31999999999998,-103.8014
106.78874243,-6.15502078,-114.26,-102.9577
106.78879886,-6.15502122,-114.72,-103.35
106.78885387,-6.15502329,-111.05,-98.35629999999998
106.78890688,-6.15502701,-106.69,-93.104015
106.78897528,-6.15503849,-108.73,-95.4037
106.78903944,-6.15505102,-111.86,-95.7034
106.7890938,-6.1550604,-106.06,-92.864615
106.78915798,-6.15507224,-105.77,-92.696715
106.78921566,-6.15508078,-105.8,-92.66391499999996
106.78927826,-6.15509265,-104.61,-92.172905
106.78934439,-6.15510221,-103.56,-91.89270499999996
106.78940579,-6.15511199,-103.62,-91.93050499999998
106.78946913,-6.15511984,-102.64,-90.98980999999998
106.78953524,-6.15512763,-102.76,-91.52160499999997
106.78959636,-6.15513667,-101.9,-90.731705
106.78966375,-6.15514167,-102.49,-91.49170499999995
106.78973108,-6.15514604,-103.41,-92.484705
106.78979763,-6.15514975,-104.66,-92.677105
106.78986569,-6.1551537,-105.75,-94.25739999999998
106.78992792,-6.15515449,-104.71,-93.37959999999998
106.78999004,-6.15515268,-105.03,-92.64119999999998
106.79005638,-6.15514537,-106.17,-94.5265
106.7901217,-6.15514287,-107.54,-95.01359999999998
106.79018766,-6.15514549,-108.33,-94.78829999999998
106.79025465,-6.15515336,-108.25,-95.91489999999996
106.79032341,-6.1551496,-109.2,-98.0021
106.79038763,-6.15514887,-109.42,-96.3822
106.79044656,-6.15515203,-108.65,-97.34550000000002
106.79052789,-6.15516624,-109.3,-97.6516
106.79058778,-6.15516791,-108.73,-97.682
106.79065296,-6.15517065,-106.98,-95.7898
106.79072196,-6.15517544,-107.57,-96.1158
106.79078419,-6.15517274,-111.06,-99.54429999999998
106.79084032,-6.15516923,-117.78,-105.6374
106.7908995,-6.15516299,-115.79,-104.5574
106.79095763,-6.15516267,-112.43,-99.747
106.79101666,-6.1551654,-110.96,-98.3401
106.79106619,-6.1551719,-111.4,-99.12709999999998
106.79111798,-6.15517568,-109.85,-97.45399999999998
106.79116336,-6.15517991,-108.15,-97.0214
106.79120292,-6.15518161,-107.76,-96.22209999999998
106.79123857,-6.15518059,-106.62,-94.797805
106.79126965,-6.15518103,-105.78,-93.7966
106.79129879,-6.15518032,-105.65,-94.013
106.79133613,-6.15518004,-104.29,-92.6771
106.79138614,-6.1551829,-99.15,-94.5521
106.79144318,-6.15518178,-103.26,-92.4025
106.79150254,-6.15517907,-103.04,-92.0039
106.79156832,-6.15517811,-104.98,-93.3235
106.79163463,-6.15517411,-105.16,-93.60410000000002
106.79170213,-6.15517061,-105.49,-93.6834
106.79176375,-6.1551663,-101.26,-89.91170000000001
106.79181883,-6.15516126,-103.67,-91.7772
106.79185951,-6.15515841,-103.12,-92.18550000000003
106.79189092,-6.15515166,-104.69,-93.19849999999998
106.79190322,-6.15515025,-105.6,-93.652005
106.79190836,-6.15514952,-105.1,-93.2198
106.79190843,-6.15514951,-101.89,-91.261505
106.79192633,-6.15514868,-101.7,-90.452705
106.7919551,-6.15514932,-104.19,-92.8722
106.79198485,-6.15515066,-104.38,-93.0319
106.79201278,-6.1551463,-102.85,-92.0513
106.79204719,-6.15514308,-104.66,-93.0961
106.79208024,-6.15514398,-104.4,-92.8591
106.79212045,-6.15514855,-102.87,-91.752805
106.79217666,-6.15515101,-100.42,-95.10590000000002
106.79223052,-6.15515805,-96.29,-93.0819
106.79229939,-6.15516671,-97.38,-93.1936
106.79236658,-6.1551753,-96.04,-92.85479999999998
106.79242531,-6.15518169,-93.95,-90.9214
106.79247897,-6.15518739,-93.68,-90.92839999999998
106.79253534,-6.15519599,-93.86,-91.07489999999996
106.79258719,-6.15520123,-95.24,-92.0833
106.79263466,-6.15520744,-95.58,-85.2406
106.79268283,-6.15521622,-89.25,-86.45839999999998
106.79272068,-6.15522467,-88.14,-85.4749
106.79275172,-6.15523266,-90.33,-87.43690000000001
106.7927687,-6.15523896,-92.26,-89.51360000000001
106.79277819,-6.15524623,-89.84,-86.6277
106.7927786,-6.15524655,-86.73,-81.25190000000002
106.79279372,-6.15523724,-81.45,-76.44400000000002
106.79281442,-6.15522073,-82.29,-78.10140000000003
106.79283301,-6.15519669,-83.8,-77.53620000000001
106.79285461,-6.1551645,-79.17,-73.23220000000002
106.79287173,-6.15513546,-75.51,-70.51807000000005
106.79289366,-6.15509547,-75.9,-78.655665
106.79291282,-6.15505473,-78.89,-71.7285
