Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09244034,-6.39185491,-85.55,15.5,257.05,4201.75
107.09243904,-6.39187704,-86.88,15.5,2672.29,4616.78
107.09243617,-6.39189714,-88.94,15.0,3249.46,4500.62
107.09243298,-6.39191722,-90.4,12.25,6161.12,3823.78
107.09242903,-6.39193923,-89.75,13.67,5545.55,3683.94
107.09242466,-6.39196002,-92.74,12.0,6037.22,2820.28
107.09241776,-6.39198175,-89.99,11.0,10802.11,3300.21
107.09240566,-6.39200824,-88.53,12.75,4681.53,2883.42
107.09239395,-6.39202903,-90.8,11.0,7349.09,2449.15
107.09238018,-6.39204211,-91.03,11.25,7255.88,2251.19
107.09236378,-6.39204887,-88.9,13.5,5733.74,2017.8
107.09234545,-6.39204859,-91.15,13.0,4328.9,1864.29
107.09232722,-6.39204497,-98.13,9.5,3691.23,1630.06
107.09230623,-6.39203998,-100.75,8.5,3638.63,1503.26
107.09228728,-6.39203568,-103.41,6.5,4219.96,1292.49
107.09226903,-6.39203282,-102.78,7.0,11468.84,1090.7
107.09224955,-6.39202862,-103.51,8.5,11419.44,1461.11
107.09222856,-6.39202531,-101.01,9.5,15982.17,1229.43
107.09220823,-6.39202438,-95.64,8.67,14950.09,1121.51
107.09218901,-6.39202398,-99.23,10.25,25561.64,1982.02
107.09216911,-6.3920263,-98.01,11.25,7438.31,1009.2
107.09215163,-6.39202868,-99.66,10.0,19957.22,1618.75
107.09213552,-6.39202876,-98.77,13.25,21990.72,1290.57
107.0921158,-6.39202509,-97.2,14.25,17016.15,1235.62
107.0920978,-6.39201984,-95.67,14.75,25002.36,1741.67
107.09208096,-6.39201328,-93.47,15.33,21586.48,840.47
107.09205926,-6.39200249,-89.49,15.5,22658.72,1243.3
107.09203829,-6.39198904,-86.31,18.75,36313.62,2386.08
107.09201537,-6.39197291,-92.93,15.0,36329.92,2271.11
107.09199292,-6.39195804,-95.7,14.0,42645.6,2683.54
107.09196639,-6.39194289,-96.2,11.75,36792.65,2070.41
107.09194355,-6.39193011,-92.02,15.5,10649.03,746.09
107.09192122,-6.39191828,-90.67,13.67,43586.11,2240.54
107.09189444,-6.39190385,-92.93,14.75,29521.62,1158.63
107.09186751,-6.39188891,-87.68,15.25,20438.71,669.69
107.091841,-6.39187433,-90.84,15.75,24793.68,1136.71
107.09180956,-6.39185669,-89.51,16.25,11758.88,1207.54
107.09177777,-6.39183864,-91.97,14.5,43094.53,2573.17
107.09174572,-6.39182072,-94.33,13.5,40988.06,2586.88
107.09171323,-6.39180396,-96.15,9.5,40258.73,2425.65
107.091675,-6.39178525,-95.32,9.33,24286.98,1256.76
107.0916411,-6.39176911,-91.88,8.5,29567.28,1917.06
107.09161072,-6.3917539,-91.14,11.5,30072.62,1456.53
107.09157442,-6.39173665,-84.9,17.25,51179.12,2401.51
107.09154562,-6.39172229,-76.72,16.5,53530.65,3037.9
107.0915209,-6.39170801,-81.85,16.25,38430.07,1591.98
107.09149889,-6.3916945,-89.78,12.5,33261.32,575.1
107.09147547,-6.39168155,-94.98,8.67,42700.74,2327.38
107.09145217,-6.39167055,-94.2,10.0,29951.04,1696.0
107.091433,-6.39166018,-92.49,8.25,20793.46,1000.17
107.09140954,-6.39164683,-90.55,8.0,23486.27,1343.97
